batter,embedding_index,name,stand
596144,873,Cheslor Cuthbert,R
596146,874,Max Kepler,L
596451,875,Roman Quinn,L
596748,876,Maikel Franco,R
596816,877,Roberto Gómez,R
596825,878,Robel García,L
596847,879,Ji Man Choi,L
598265,880,Jackie Bradley,L
598284,881,Peter O'Brien,R
599096,882,Dilson Herrera,R
600301,883,Taylor Motter,R
600303,884,Tommy La Stella,L
600466,885,Raudy Read,R
600474,886,Pedro Severino,R
600524,887,Renato Núñez,R
600858,888,Humberto Arteaga,R
600869,889,Jeimer Candelario,L
602074,890,Yonathan Daza,R
602080,891,Erick Castillo,R
602104,892,Ramón Urías,R
602115,893,Gabriel Guerrero,R
602922,894,José Rondón,R
605113,895,Nick Ahmed,R
