anchor,anchor_name,p_throws,x_bin,z_bin,n_pitches,quantity,anchor_value,league_value,delta
664761,Alec Bohm,R,1.0,0.0,1350,p_contact,0.6368354844220017,0.4858199080181862,0.15101557640381547
664761,Alec Bohm,R,1.0,0.0,1350,q,0.31057660590167396,0.27267676836997273,0.03789983753170123
664761,Alec Bohm,R,1.0,1.0,1911,p_swing,0.6132087179887036,0.6272466055640996,-0.014037887575396035
664761,Alec Bohm,R,1.0,1.0,1911,p_contact,0.8950857558155608,0.8482317983787575,0.04685395743680332
664761,Alec Bohm,R,1.0,1.0,1911,q,0.41818446477690896,0.3667129213316537,0.051471543445255286
664761,Alec Bohm,R,1.0,2.0,2285,p_swing,0.7236251687761437,0.6753376039294566,0.04828756484668706
664761,Alec Bohm,R,1.0,2.0,2285,p_contact,0.8927234010571202,0.8774916365751814,0.015231764481938859
664761,Alec Bohm,R,1.0,2.0,2285,q,0.4351656360490578,0.3799481864017261,0.05521744964733166
664761,Alec Bohm,R,1.0,3.0,1670,p_swing,0.7487751042545623,0.6341888583832577,0.11458624587130462
664761,Alec Bohm,R,1.0,3.0,1670,p_contact,0.8537934270804514,0.7836349590236913,0.07015846805676007
664761,Alec Bohm,R,1.0,3.0,1670,q,0.40976099262159027,0.3454214296089318,0.06433956301265847
664761,Alec Bohm,R,1.0,4.0,1155,p_swing,0.43169760517279776,0.3040083514239462,0.12768925374885154
664761,Alec Bohm,R,1.0,4.0,1155,p_contact,0.6000656642366475,0.43073792214606976,0.16932774209057777
664761,Alec Bohm,R,1.0,4.0,1155,q,0.338495464655228,0.2602029017373533,0.07829256291787473
664761,Alec Bohm,R,2.0,0.0,2194,p_swing,0.4146263250955655,0.43418831010806325,-0.01956198501249773
664761,Alec Bohm,R,2.0,0.0,2194,p_contact,0.645508128030846,0.48060252969020795,0.16490559834063806
664761,Alec Bohm,R,2.0,0.0,2194,q,0.35394550635120275,0.291390301384874,0.06255520496632877
664761,Alec Bohm,R,2.0,1.0,2555,p_swing,0.7023234914171778,0.6707654966626011,0.03155799475457666
664761,Alec Bohm,R,2.0,1.0,2555,p_contact,0.892666075327625,0.849851092994563,0.042814982333062024
664761,Alec Bohm,R,2.0,1.0,2555,q,0.4826674544414662,0.42141940631832625,0.06124804812313994
664761,Alec Bohm,R,2.0,2.0,2715,p_swing,0.813439822251845,0.734655212145923,0.07878461010592197
664761,Alec Bohm,R,2.0,2.0,2715,p_contact,0.8904118518363925,0.8774962120915645,0.012915639744828011
664761,Alec Bohm,R,2.0,2.0,2715,q,0.49054210044402446,0.4277883057616802,0.06275379468234427
664761,Alec Bohm,R,2.0,3.0,1919,p_swing,0.8359703129121511,0.7247904112756676,0.1111799016364835
664761,Alec Bohm,R,2.0,3.0,1919,p_contact,0.8642892024366727,0.7951616362785535,0.06912756615811921
664761,Alec Bohm,R,2.0,3.0,1919,q,0.44600009610716285,0.3733612532505242,0.07263884285663863
664761,Alec Bohm,R,2.0,4.0,1314,p_swing,0.5696082200855649,0.4100907918637558,0.1595174282218091
664761,Alec Bohm,R,2.0,4.0,1314,p_contact,0.6596549335793455,0.47987416580055386,0.1797807677787916
664761,Alec Bohm,R,2.0,4.0,1314,q,0.3631297272021912,0.27076851812816444,0.09236120907402678
664761,Alec Bohm,R,3.0,0.0,2546,p_swing,0.36635130385525266,0.3658994680718875,0.00045183578336516206
664761,Alec Bohm,R,3.0,0.0,2546,p_contact,0.4968035172579219,0.3374400827103146,0.15936343454760726
664761,Alec Bohm,R,3.0,0.0,2546,q,0.30848912223120045,0.2562409733658992,0.05224814886530127
664761,Alec Bohm,R,3.0,1.0,2289,p_swing,0.5854339618463673,0.5521580467582207,0.033275915088146646
664761,Alec Bohm,R,3.0,1.0,2289,p_contact,0.8419025229048448,0.7819944111721948,0.05990811173264998
664761,Alec Bohm,R,3.0,1.0,2289,q,0.40165309070264893,0.353194990843248,0.048458099859400916
664761,Alec Bohm,R,3.0,2.0,2201,p_swing,0.6863050919795398,0.6224007608865078,0.06390433109303206
664761,Alec Bohm,R,3.0,2.0,2201,p_contact,0.8643410033066129,0.8511325504576304,0.013208452848982533
664761,Alec Bohm,R,3.0,2.0,2201,q,0.42222649437197224,0.36844138330299714,0.0537851110689751
664761,Alec Bohm,R,3.0,3.0,1296,p_swing,0.7028561319737626,0.6063910914943088,0.09646504047945381
664761,Alec Bohm,R,3.0,3.0,1296,p_contact,0.8410862259290837,0.7957560347980693,0.04533019113101433
664761,Alec Bohm,R,3.0,3.0,1296,q,0.4106204693240148,0.34354519236953585,0.06707527695447896
664761,Alec Bohm,R,3.0,4.0,745,p_swing,0.4427058224039726,0.32379808253219544,0.11890773987177716
