batter,name,stand,stratum,prior_pa,delta_pred,delta_eb,rank_model,rank_eb,rank_gap,rank_model_pooled,rank_eb_pooled
676609,José Caballero,R,medium,124.0,0.0114321927005202,0.026307692123671955,261,68,193,264,74
676694,Jake Meyers,R,medium,190.0,0.0121088474392005,0.026375271839640224,241,66,175,244,72
676701,Alan Trejo,R,medium,149.0,0.0122534547303622,0.00903812944413751,237,291,-54,239,323
676801,Chas Mccormick,R,medium,343.0,0.01122247073957,0.036862575802929065,264,14,250,267,14
676914,Davis Schneider,R,low,54.0,0.0116510638495933,0.023107777090976778,256,97,159,259,105
677008,Heston Kjerstad,L,low,1.0,-0.0416271213562283,-0.03029273670382232,200,147,53,524,471
677347,Kyren Paris,R,low,13.0,0.0145638291014099,0.023044478671156554,115,98,17,115,106
677587,Brayan Rocchio,L,low,33.0,-0.0108581688889237,0.005486540177617627,38,38,0,361,343
677588,José Tena,L,low,12.0,-0.0327640717002548,-0.030815935195904087,95,152,-57,419,476
677594,Julio Rodríguez,R,medium,300.0,0.0154568690596396,0.009417597876690276,87,289,-202,87,321
677649,Ezequiel Duran,R,medium,183.0,0.0123807797166768,0.022757406733392105,235,101,134,237,109
677800,Wilyer Abreu,L,low,10.0,-0.0424197431817565,-0.03850987569381309,204,179,25,528,503
677870,,R,low,0.0,0.0144477913530983,0.01923963035739218,127,162,-35,127,172
677941,Jordyn Adams,R,low,11.0,0.0136945662802603,0.021191822019402118,194,124,70,195,134
677942,,R,low,0.0,0.0144477913530983,0.01923963035739218,127,162,-35,127,172
677950,Alek Thomas,L,medium,176.0,-0.0390843192160357,-0.04200940127861763,181,193,-12,505,517
677951,Bobby Witt,R,medium,294.0,0.0154366843907365,0.01416354459357655,90,259,-169,90,275
