anchor,anchor_name,p_throws,pitch_type,balls,strikes,n_pitches,quantity,anchor_value,league_value,delta
665742,Juan Soto,L,offspeed,0,1,806,p_contact,0.4852125377851227,0.5128617384767113,-0.02764920069158866
665742,Juan Soto,L,offspeed,0,1,806,q,0.24963717963130538,0.27137329635952157,-0.02173611672821618
665742,Juan Soto,L,offspeed,0,2,334,p_swing,0.3443613796073507,0.5036834132857038,-0.15932203367835307
665742,Juan Soto,L,offspeed,0,2,334,p_contact,0.4854230708142441,0.48842377074731075,-0.003000699933066675
665742,Juan Soto,L,offspeed,0,2,334,q,0.21526608843646364,0.24205602092155348,-0.026789932485089846
665742,Juan Soto,L,offspeed,1,0,660,p_swing,0.31354544067585666,0.455071061205788,-0.14152562052993134
665742,Juan Soto,L,offspeed,1,0,660,p_contact,0.5230375033620063,0.538948928757298,-0.01591142539529178
665742,Juan Soto,L,offspeed,1,0,660,q,0.29441092246861167,0.3052833414896194,-0.010872419021007718
665742,Juan Soto,L,offspeed,1,1,756,p_swing,0.39549133008105336,0.578159271017101,-0.1826679409360476
665742,Juan Soto,L,offspeed,1,1,756,p_contact,0.5557294501363529,0.5671141324431292,-0.011384682306776361
665742,Juan Soto,L,offspeed,1,1,756,q,0.2800244015626728,0.29500374587489264,-0.014979344312219867
665742,Juan Soto,L,offspeed,1,2,536,p_swing,0.4196487645786433,0.5851326156133441,-0.16548385103470076
665742,Juan Soto,L,offspeed,1,2,536,p_contact,0.5375711052085141,0.5392553750824167,-0.0016842698739025774
665742,Juan Soto,L,offspeed,1,2,536,q,0.2369886348858031,0.2616362055555097,-0.024647570669706603
665742,Juan Soto,L,offspeed,2,0,163,p_swing,0.3146578128437299,0.4230839340478378,-0.10842612120410788
665742,Juan Soto,L,offspeed,2,0,163,p_contact,0.5251195659872396,0.5278142781922803,-0.0026947122050406946
665742,Juan Soto,L,offspeed,2,0,163,q,0.29934840663079104,0.3064275875102523,-0.007079180879461244
665742,Juan Soto,L,offspeed,2,1,355,p_swing,0.4618193334572732,0.6420883693532151,-0.1802690358959419
665742,Juan Soto,L,offspeed,2,1,355,p_contact,0.6148592376777358,0.614500787342924,0.00035845033481174404
665742,Juan Soto,L,offspeed,2,1,355,q,0.3149039694540937,0.32259645819118327,-0.007692488737089553
665742,Juan Soto,L,offspeed,2,2,497,p_swing,0.5124883864267926,0.6655215114101716,-0.15303312498337895
665742,Juan Soto,L,offspeed,2,2,497,p_contact,0.6212652847720992,0.6013136359724229,0.019951648799676258
665742,Juan Soto,L,offspeed,2,2,497,q,0.2729012500232374,0.286194917191592,-0.013293667168354617
665742,Juan Soto,L,offspeed,3,0,8,p_swing,0.1539032151590618,0.08680561931831847,0.06709759584074333
