batter,stand,stratum,dim,gradient
664761,R,high,14,3.275986599150595e-05
665742,L,high,14,0.000558188555013291
665926,L,medium,14,-0.0011542284354873875
667472,R,low,14,-0.0010115070488499536
668709,L,medium,14,0.0011031295472608165
669289,R,medium,14,0.00257828162582554
669394,R,medium,14,-0.0012091064773427302
676113,L,low,14,0.0
677347,R,low,14,-0.0004284765446802159
680474,R,low,14,0.0
680718,L,low,14,0.0
680776,L,medium,14,-0.00017417413933201628
680869,R,low,14,0.0005144792059974441
681146,R,low,14,-0.0006608870932062543
682177,L,low,14,0.0
682626,R,medium,14,0.0004903040166620003
686527,L,low,14,0.00029591371184340076
686894,R,medium,14,0.00031125010541864045
691718,L,low,14,-0.0015962813101079866
700250,L,low,14,0.0
457705,R,high,15,-0.0026680306228713617
467793,L,high,15,0.0020730044526106294
502671,R,high,15,-0.002040227209647209
545121,L,medium,15,0.0008451591482513452
545361,R,high,15,-0.003286015256088391
571745,R,high,15,-0.0004446438020751606
592325,L,high,15,0.0006039567138884952
592626,L,high,15,0.0008552401024144998
593871,L,high,15,-0.0011123621308696172
595978,R,high,15,-0.0013684187340140222
605131,R,high,15,-0.0040062614708892726
605170,L,medium,15,-0.0014491807720491067
605346,R,low,15,-0.0031147616562091137
608336,L,high,15,0.0006306829234347061
624428,L,high,15,0.0011706699761315092
650859,L,high,15,-0.0004109854422215153
656555,R,high,15,-0.0012848895512776236
656941,L,high,15,0.0013275327632211523
660707,R,medium,15,-0.0014704266566466474
662139,L,medium,15,0.0006798487335415407
664761,R,high,15,-0.002366492574360928
665742,L,high,15,-0.0010638623471734407
665926,L,medium,15,6.78635190521422e-05
667472,R,low,15,-0.004257415202733472
668709,L,medium,15,0.0008641267306975463
669289,R,medium,15,-0.0011657608773800463
669394,R,medium,15,-0.004225774282532024
676113,L,low,15,0.0
677347,R,low,15,-0.002361692179559875
680474,R,low,15,0.0
680718,L,low,15,0.0
680776,L,medium,15,-0.0006446064625237007
680869,R,low,15,-0.0012461713419869328
681146,R,low,15,-0.0004999754584990527
682177,L,low,15,0.0
682626,R,medium,15,-0.0029903121692640517
686527,L,low,15,0.0019068319126414601
686894,R,medium,15,-0.003973447762945004
691718,L,low,15,0.0007666052769200119
700250,L,low,15,0.0
457705,R,high,16,0.002289415994385529
467793,L,high,16,0.0022033476549216027
502671,R,high,16,0.003241971391360664
545121,L,medium,16,0.0014286185495286266
545361,R,high,16,0.000988390012718567
571745,R,high,16,0.0023547346068719466
592325,L,high,16,-0.002579933504597421
592626,L,high,16,-0.0031352380780745
593871,L,high,16,0.0011663711392752732
595978,R,high,16,0.0033298940194027267
605131,R,high,16,0.0037648624793422906
605170,L,medium,16,0.0029156974172751503
605346,R,low,16,0.004887882541557276
608336,L,high,16,-0.0035514747750405623
624428,L,high,16,-0.0016467569615454083
650859,L,high,16,0.004129357416628471
656555,R,high,16,0.0027393255286318192
656941,L,high,16,-0.0003671456545758067
660707,R,medium,16,0.002411194903365695
662139,L,medium,16,-0.0018913834919195261
664761,R,high,16,0.0035534653793992204
665742,L,high,16,-0.00048660791857968433
665926,L,medium,16,-0.001648484224751462
667472,R,low,16,0.00463627723843217
668709,L,medium,16,-0.0008496627812992113
669289,R,medium,16,0.0024637420188701646
669394,R,medium,16,0.005754930197008461
676113,L,low,16,0.0
677347,R,low,16,0.0034018151883157518
680474,R,low,16,0.0
680718,L,low,16,0.0
680776,L,medium,16,-0.0035863516401605333
680869,R,low,16,0.0031831918108589587
681146,R,low,16,0.004224296273681556
682177,L,low,16,0.0
682626,R,medium,16,0.005041453538378449
686527,L,low,16,-0.0018478568247136927
686894,R,medium,16,0.004497922029114499
691718,L,low,16,-0.004872667172825802
700250,L,low,16,0.0
457705,R,high,17,-0.0017726557658733733
467793,L,high,17,-0.0023587047674988194
502671,R,high,17,1.1712174670737639e-05
545121,L,medium,17,0.0030705865144141664
545361,R,high,17,-0.00043728087150959487
571745,R,high,17,-0.00021994744998446957
592325,L,high,17,-0.0014103353532252253
592626,L,high,17,-0.001474942605070829
593871,L,high,17,0.000520080507824871
595978,R,high,17,-0.0023294937915753246
605131,R,high,17,4.4702716149264036e-05
605170,L,medium,17,0.0006159876791529659
605346,R,low,17,-0.0034810526111188913
608336,L,high,17,-0.000577524571897894
624428,L,high,17,-0.0003157409517139791
650859,L,high,17,-0.0007841777887633402
656555,R,high,17,-0.0009616891486365761
656941,L,high,17,-0.001216425403979322
660707,R,medium,17,-0.0008871916783358921
662139,L,medium,17,-0.0002782591401134206
664761,R,high,17,-0.001071586659075231
665742,L,high,17,0.0024069156408758436
665926,L,medium,17,-0.0009569303326351944
667472,R,low,17,-0.0037080157194881616
668709,L,medium,17,-0.0005886148224627444
669289,R,medium,17,0.00092958226430887
669394,R,medium,17,-0.0005568696429727233
676113,L,low,17,0.0
677347,R,low,17,-0.0011983690407385732
680474,R,low,17,0.0
680718,L,low,17,0.0
680776,L,medium,17,-0.00032846911194025255
680869,R,low,17,-0.0022435822525547445
681146,R,low,17,0.00016019162771369345
682177,L,low,17,0.0
682626,R,medium,17,-0.0005099959082890493
686527,L,low,17,6.35587586720147e-05
686894,R,medium,17,-0.0037625823788391658
691718,L,low,17,-0.003624276191848532
700250,L,low,17,0.0
457705,R,high,18,0.0001965297464813888
467793,L,high,18,0.0009356211998135581
502671,R,high,18,0.0016017018786932816
545121,L,medium,18,0.0036315864633217846
545361,R,high,18,0.0006901393062693416
571745,R,high,18,0.000959455640881507
592325,L,high,18,-0.0006326980039796014
592626,L,high,18,0.0017286795307484468
593871,L,high,18,0.002938142768585804
595978,R,high,18,5.935315224494116e-05
605131,R,high,18,-0.0008700754754897373
605170,L,medium,18,0.006692272078602495
605346,R,low,18,-0.0015438854153334955
608336,L,high,18,-0.0005404155056135658
624428,L,high,18,-7.743834676383976e-05
650859,L,high,18,0.0025490807531126417
656555,R,high,18,-0.0002015547805606187
656941,L,high,18,0.0011227352517176857
660707,R,medium,18,0.0015878826137202553
662139,L,medium,18,0.0005693019365330511
