ev_bin,la_bin,train_mass,obs_mass,conditional_contribution
12,5,0.0019204282523364682,0.00198922024217312,1.1892595594543778e-05
12,6,0.0019742128986127783,0.0017333454392379883,-3.840092724005201e-05
12,7,0.0016145939891966683,0.0016590592061277887,-5.467695828181072e-05
12,8,0.0011642794017459974,0.0010812773930484593,-7.311693840697181e-05
12,9,0.0016314676037147264,0.0013041360923790578,6.755452993592958e-05
12,10,0.0016609964291213278,0.0016177890766221224,-5.387005175413166e-06
12,11,0.0017643473180444325,0.0015847729730175894,0.00011963207910834497
12,12,0.001257084281595316,0.0011885797297631919,-8.99195572321554e-06
12,13,0.0018012583498026842,0.0014362005067971903,-9.408002365545689e-05
12,14,0.0018371147806535574,0.0018736638795572543,4.657594588255906e-05
12,15,0.0012739578961133737,0.0011473096002575255,5.1457662234894105e-05
12,16,0.0019162098487069538,0.0017993776464470545,6.918034469078992e-05
12,17,0.0019594484859094775,0.0018323937500515875,7.298132351711635e-05
12,18,0.0024466741051184,0.0023689054336252504,0.0001813962286816451
12,19,0.002241026928179569,0.0020717605011844526,0.00015540709822085418
12,20,0.002010069329463651,0.0019974742680742533,6.220652960651761e-05
12,21,0.0028674598671624696,0.003053989583419313,1.8287040675237788e-05
12,22,0.002633338465724416,0.0032851023086510446,1.9634602690264474e-05
12,23,0.0017474737035263746,0.003029227505715913,4.820932794859679e-06
13,0,0.00024255820869708279,0.000297144932440798,-7.139132263932988e-06
13,1,0.0010894027373221152,0.0013123901182801913,6.085897899315501e-06
13,2,0.0018360601797461787,0.0017333454392379883,4.300248089174655e-05
13,3,0.0015112431002735635,0.00148572466220399,-6.267839155270625e-05
13,4,0.001678924644546764,0.0017168373874357219,-1.8194076839566403e-05
13,5,0.001890899426929867,0.0018571558277549875,6.9200964262402655e-06
13,6,0.0018476607897273435,0.0018654098536561208,-6.711839420721704e-05
13,7,0.0015692461501793876,0.0014114384290937905,3.598944682670018e-05
13,8,0.0010693653200819213,0.0008006405124099279,-1.7772960222432547e-05
13,9,0.0016145939891966683,0.001543502843511923,8.017552161965975e-05
13,10,0.0017306000890083164,0.0014279464808960572,-2.902496436966532e-05
13,11,0.0016198669937335613,0.0014031844031926572,5.373227661872449e-05
13,12,0.0010851843336926008,0.0011390555743563922,-2.5462561483618925e-05
13,13,0.0017717295243960826,0.0016177890766221224,-0.0001347314716701208
13,14,0.0017495829053411317,0.0015022327140062565,-8.176627879351326e-06
13,15,0.0012191186489296855,0.0010647693412461927,4.2044098885256075e-05
